Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Zach Edey,39.0,32.0,25.2,8.6,13.8,62.3,0.0,0.1,50.0,7.9,11.2,71.1,62.31884057971014,12.2,2.0,0.3,2.2,0.8695652173913044
Tommy Bruner,34.0,33.8,24.0,7.7,17.7,43.5,2.4,6.8,35.3,6.2,7.6,80.8,50.282485875706215,2.8,4.2,1.3,0.1,1.1666666666666667
Terrence Shannon Jr.,32.0,34.0,23.0,6.8,14.4,47.5,2.4,6.7,36.2,6.9,8.6,80.1,55.55555555555556,4.0,2.3,1.0,0.9,1.15
Tyler Thomas,33.0,37.9,22.5,8.0,19.4,41.4,3.8,10.2,37.1,2.6,3.1,86.1,51.03092783505156,5.2,3.3,1.3,0.5,1.5714285714285712
Xavier Johnson,32.0,36.7,22.2,6.6,15.6,42.2,2.1,5.8,36.8,6.8,7.7,89.0,49.03846153846153,4.1,6.1,1.5,0.3,1.8484848484848484
David Jones,32.0,32.4,21.8,7.0,15.2,45.9,2.5,6.5,38.0,5.4,6.8,79.7,54.276315789473685,7.6,1.8,2.2,0.4,0.6
Tyson Acuff,27.0,37.9,21.7,8.1,18.7,43.3,1.8,6.2,29.2,3.7,4.5,81.1,48.12834224598931,3.6,2.8,1.1,0.1,1.4
Dalton Knecht,36.0,30.6,21.7,7.3,16.0,45.8,2.6,6.5,39.7,4.4,5.7,77.2,53.75,4.9,1.8,0.7,0.6,1.0588235294117647
Jordan Sears,32.0,33.6,21.6,7.1,16.4,43.2,2.4,5.5,43.2,5.1,6.0,83.9,50.609756097560975,4.6,4.5,1.3,0.2,1.40625
Tucker DeVries,34.0,35.5,21.6,7.2,16.2,44.4,2.6,7.1,36.3,4.6,5.7,81.3,52.46913580246913,6.7,3.7,1.6,0.3,1.48
Mark Sears,37.0,33.6,21.5,6.8,13.4,50.8,2.6,5.9,43.6,5.4,6.2,85.7,60.447761194029844,4.2,4.0,1.6,0.1,1.6666666666666667
Jaedon LeDee,36.0,32.6,21.4,7.3,13.1,56.0,0.6,1.3,44.4,6.3,8.6,73.4,58.01526717557252,8.4,1.3,1.2,0.5,0.5416666666666667
Jordan Johnson,32.0,35.8,21.3,6.6,17.0,38.7,2.5,7.4,34.0,5.7,6.9,82.4,46.17647058823529,3.2,3.8,1.5,0.2,1.5833333333333333
Jalen Blackmon,35.0,34.8,21.3,7.0,16.3,42.8,3.1,8.3,38.1,4.2,4.6,90.7,52.45398773006135,2.9,1.9,0.8,0.1,1.0
PJ Haggerty,31.0,33.6,21.2,6.4,13.0,49.3,0.7,2.5,28.9,7.6,10.0,76.7,51.92307692307693,5.5,3.8,1.9,0.0,1.4615384615384615
RJ Davis,37.0,34.8,21.2,7.0,16.4,42.8,3.1,7.7,39.8,4.1,4.7,87.3,52.13414634146343,3.6,3.5,1.2,0.2,2.3333333333333335
BJ Freeman,27.0,32.2,21.1,7.0,16.6,42.2,2.4,7.0,35.1,4.7,5.7,82.4,49.39759036144578,6.6,4.1,1.1,0.4,1.1388888888888888
Vonterius Woolbright,32.0,35.3,21.1,7.4,16.0,46.0,0.3,1.3,24.4,6.0,8.4,71.7,47.18750000000001,12.0,5.6,0.6,0.0,1.5999999999999999
Keion Brooks Jr.,32.0,35.1,21.1,7.1,14.6,48.7,1.6,4.3,38.0,5.2,6.5,79.4,54.10958904109589,6.8,1.4,0.7,0.8,0.7368421052631579
Riley Minix,35.0,33.8,20.9,7.8,14.4,54.1,1.7,4.8,34.9,3.7,4.4,83.9,60.06944444444444,9.7,2.2,1.3,1.0,0.9565217391304349
Landon Glasper,24.0,36.1,20.9,6.3,17.8,35.7,2.6,8.6,30.0,5.6,7.4,75.8,42.69662921348314,3.6,2.2,1.4,0.1,1.1578947368421053
Jayden Stone,26.0,35.9,20.8,7.2,17.1,42.2,2.4,7.7,31.2,4.0,5.0,79.4,49.122807017543856,5.6,2.7,1.5,0.3,1.08
Dillon Jones,31.0,37.0,20.8,6.9,14.2,48.9,1.1,3.4,32.4,5.8,6.8,85.7,52.464788732394375,9.8,5.2,2.0,0.1,1.7333333333333334
David Coit,29.0,37.0,20.8,6.9,17.0,40.7,3.2,9.6,33.7,3.7,4.2,88.5,50.0,3.2,3.4,0.9,0.2,1.4166666666666667
Elijah Pepper,33.0,33.0,20.7,6.5,15.8,41.5,3.1,8.2,37.1,4.5,4.9,92.0,50.9493670886076,4.6,2.1,1.7,0.3,1.105263157894737
Drew Pember,33.0,30.5,20.6,5.8,12.6,46.4,2.0,5.5,36.6,6.9,8.2,84.4,53.96825396825397,8.2,3.5,1.0,1.9,1.2962962962962963
Marcus Hill,34.0,36.3,20.5,7.5,16.9,44.3,0.8,2.6,28.9,4.8,6.4,74.0,46.74556213017752,5.0,2.6,1.0,0.3,1.0
Xander Rice,33.0,35.2,20.4,6.1,15.9,38.3,2.8,7.9,34.9,5.5,6.5,85.0,47.16981132075472,3.0,3.6,1.3,0.1,1.7142857142857142
Jahmir Young,32.0,35.3,20.4,6.2,15.4,40.4,1.8,5.4,32.4,6.2,6.9,90.0,46.103896103896105,4.9,4.2,1.3,0.3,1.5555555555555556
DaRon Holmes,33.0,32.4,20.4,6.6,12.1,54.4,1.0,2.5,38.6,6.2,8.8,71.3,58.67768595041321,8.5,2.6,0.9,2.1,1.1818181818181817
Antonio Reeves,33.0,31.5,20.2,7.1,13.9,51.2,2.5,5.7,44.7,3.4,4.0,86.3,60.07194244604316,4.2,1.6,0.7,0.2,1.3333333333333335
Frankie Fidler,33.0,36.0,20.1,6.0,13.3,45.2,1.6,4.4,35.6,6.5,7.7,85.4,51.127819548872175,6.3,2.6,1.2,0.4,1.625
Tyon Grant-Foster,34.0,33.4,20.1,6.2,14.0,44.6,1.5,4.4,33.1,6.2,8.3,74.5,49.642857142857146,6.1,1.6,1.7,1.5,0.64
Noah Reynolds,27.0,33.4,20.0,7.5,14.6,51.1,1.3,3.7,34.0,3.8,4.8,79.1,55.821917808219176,3.7,4.5,0.8,0.5,1.6666666666666665
Ajay Mitchell,29.0,31.5,20.0,6.7,13.3,50.4,1.1,2.9,39.3,5.4,6.3,85.8,54.51127819548872,4.0,4.0,1.2,0.4,1.5384615384615383
Marques Warrick,33.0,36.2,19.9,6.6,15.5,42.5,2.0,6.8,29.8,4.7,5.5,86.7,49.03225806451613,2.5,2.4,1.2,0.1,1.0434782608695652
Issac McBride,31.0,38.6,19.8,6.6,14.8,44.8,2.1,5.3,39.4,4.5,5.0,89.0,51.689189189189186,3.5,3.1,0.9,0.1,1.823529411764706
Trazarien White,30.0,30.4,19.8,6.7,13.7,49.3,0.8,2.0,39.0,5.5,7.7,71.6,51.82481751824818,6.8,1.6,0.8,0.4,0.64
Saint Thomas,32.0,34.8,19.7,7.0,14.8,47.2,2.0,6.2,33.0,3.7,4.3,86.8,54.05405405405405,9.8,4.2,1.7,0.9,1.4000000000000001
Devin Carter,33.0,35.3,19.7,6.6,14.0,47.3,2.5,6.8,37.7,3.9,5.2,74.9,56.07142857142857,8.7,3.6,1.8,1.0,1.3333333333333333
KJ Simpson,37.0,35.1,19.7,6.6,13.8,47.5,2.1,4.9,43.4,4.4,5.0,87.6,55.43478260869564,5.8,4.9,1.6,0.1,2.227272727272727
Chaz Lanier,32.0,33.3,19.7,6.7,13.1,51.0,3.3,7.5,44.0,3.0,3.4,88.0,63.74045801526718,4.8,1.8,0.9,0.3,1.125
Tristan Enaruna,35.0,33.2,19.6,7.2,14.5,49.8,0.8,2.5,32.2,4.4,6.1,72.1,52.41379310344828,6.5,2.7,1.2,0.9,1.4210526315789476
Sebastian Thomas,32.0,35.4,19.6,6.8,15.8,43.1,1.6,5.3,29.4,4.4,5.7,77.5,48.101265822784804,4.2,4.9,1.9,0.3,1.7500000000000002
Kobe Sanders,29.0,33.6,19.6,6.1,13.4,45.9,1.3,3.9,33.9,6.0,6.9,87.4,50.373134328358205,3.7,3.2,0.8,0.3,1.103448275862069
Trey Calvin,31.0,35.4,19.6,6.8,14.2,48.2,2.0,5.0,40.0,3.9,4.4,89.6,54.929577464788736,2.4,4.2,1.5,0.1,2.1
Jaylon Tyson,31.0,34.4,19.6,7.2,15.4,46.5,1.6,4.5,36.0,3.6,4.6,79.6,51.94805194805194,6.8,3.5,1.2,0.5,1.129032258064516
Anthony Dell'Orso,32.0,33.3,19.5,7.0,14.2,49.2,1.5,4.0,38.0,4.0,4.9,80.9,54.5774647887324,6.5,1.9,1.6,0.5,0.7916666666666666
Clarence Daniels,31.0,32.9,19.4,6.7,14.6,45.8,1.7,4.7,36.3,4.4,5.4,80.4,51.71232876712328,9.6,0.4,1.4,0.5,0.16
Quincy Olivari,34.0,32.2,19.1,5.8,13.7,42.5,3.1,7.6,40.9,4.4,5.4,81.4,53.64963503649635,5.6,2.1,1.4,0.1,1.3125
Jacob Crews,32.0,33.4,19.1,6.4,13.3,48.5,2.8,6.7,41.4,3.5,4.3,81.6,58.64661654135338,8.2,1.1,0.8,0.5,0.8461538461538461
Jason Edwards,34.0,32.6,19.1,6.3,14.8,42.5,2.5,7.1,35.0,4.1,5.0,80.7,51.01351351351351,2.4,1.4,0.8,0.1,0.6086956521739131
Wade Taylor IVTA&,36.0,32.9,19.1,5.9,16.3,36.6,2.7,8.4,32.5,4.5,5.3,84.7,44.47852760736196,3.5,4.0,1.8,0.0,1.4285714285714286
Boo Buie,34.0,36.9,19.0,6.3,14.4,43.8,2.6,6.0,43.4,3.7,4.4,85.8,52.77777777777778,3.3,5.0,1.4,0.1,2.173913043478261
Dion Brown,32.0,32.3,19.0,7.7,15.2,50.6,1.4,4.0,34.9,2.2,2.9,76.1,55.26315789473685,7.6,2.6,1.3,0.5,0.8387096774193549
Mervin James,32.0,31.7,18.9,7.0,13.4,51.9,0.7,1.4,46.7,4.3,5.1,84.8,54.850746268656714,6.1,1.9,1.0,0.9,0.6785714285714286
Mikeal Brown-Jones,28.0,28.4,18.9,6.2,11.5,54.0,0.9,2.1,43.1,5.5,7.0,78.7,57.826086956521735,7.5,1.1,0.6,0.9,0.6470588235294118
Judah Mintz,32.0,34.0,18.8,5.9,13.4,43.8,0.8,2.7,28.2,6.3,8.3,76.5,47.01492537313433,3.2,4.4,2.1,0.1,1.517241379310345
Zeke Mayo,35.0,35.9,18.8,6.2,13.4,46.6,2.6,6.7,39.1,3.7,4.5,82.8,55.970149253731336,5.7,3.5,1.1,0.2,1.129032258064516
Kino Lilly Jr.,30.0,38.0,18.8,6.6,16.6,39.5,3.0,8.8,34.1,2.7,3.3,81.6,48.795180722891565,2.4,3.6,0.8,0.2,1.3333333333333333
De'Sean Allen-Eikens,33.0,33.7,18.8,6.3,13.2,48.2,1.1,2.9,36.1,5.1,6.8,74.2,51.89393939393939,5.3,2.3,1.0,0.2,0.7187499999999999
Ken Evans Jr.,32.0,35.8,18.8,5.9,14.5,40.8,1.9,4.9,39.2,5.0,6.4,78.2,47.24137931034483,5.4,2.9,1.3,0.2,1.0
AJ McKee,33.0,31.6,18.8,6.5,14.6,44.7,1.9,5.8,32.3,3.8,5.2,73.4,51.02739726027398,4.0,2.4,1.7,0.3,1.263157894736842
Wesley Cardet Jr.,31.0,34.5,18.7,6.3,14.2,44.4,1.4,4.1,34.4,4.6,6.4,71.9,49.29577464788733,4.5,2.6,0.9,0.5,0.896551724137931
Basheer Jihad,30.0,32.6,18.6,5.9,13.0,45.1,1.3,3.8,35.4,5.6,7.4,74.9,50.384615384615394,8.0,1.8,1.1,1.1,0.5294117647058824
Enrique Freeman,35.0,32.4,18.6,6.7,11.4,58.4,0.6,1.5,37.0,4.7,6.5,72.8,61.40350877192983,12.9,1.6,0.8,1.7,0.64
Jayden Epps,29.0,34.8,18.5,6.1,15.6,39.2,2.2,7.2,30.5,4.1,5.4,76.3,46.15384615384615,2.6,4.2,1.2,0.4,1.2352941176470589
Baylor Scheierman,35.0,36.8,18.5,6.3,14.0,44.8,3.1,8.3,38.1,2.8,3.2,87.6,56.07142857142857,9.0,3.9,0.9,0.1,1.7727272727272725
Blake Hinson,33.0,33.6,18.5,6.1,13.4,45.4,3.3,7.9,42.1,2.9,4.4,66.9,57.83582089552238,4.4,0.8,0.5,0.2,0.6153846153846154
JP Pegues,30.0,34.1,18.4,5.7,13.7,42.0,2.8,7.6,36.2,4.2,4.8,87.5,51.82481751824818,4.3,4.8,1.2,0.2,2.2857142857142856
Robert McCray,32.0,30.6,18.4,6.6,13.2,50.2,1.7,4.7,35.8,3.5,4.8,71.6,56.43939393939393,4.2,2.9,1.3,0.2,1.16
Tyson Walker,34.0,32.9,18.4,7.0,15.6,44.9,1.9,5.0,37.6,2.5,3.4,74.6,50.96153846153847,2.9,2.8,1.9,0.1,2.0
Kevin McCullar Jr.,26.0,34.3,18.3,6.1,13.5,45.4,1.5,4.5,33.3,4.6,5.7,80.5,50.74074074074074,6.0,4.1,1.5,0.4,1.64
Bryce Pope,33.0,35.6,18.3,6.5,15.5,41.8,2.2,6.8,33.2,3.1,3.8,81.7,49.03225806451613,3.9,1.9,1.0,0.2,1.4615384615384615
PJ Hall,36.0,28.9,18.3,6.7,13.7,48.8,1.4,4.6,31.5,3.5,4.5,77.9,54.01459854014598,6.4,1.4,0.8,1.4,0.7368421052631579
Rayquan Brown,30.0,35.4,18.3,6.6,14.9,44.0,1.4,4.2,32.3,3.8,5.3,71.2,48.993288590604024,6.0,1.2,1.1,0.6,0.5714285714285714
James Bishop,32.0,35.4,18.3,5.7,14.7,39.0,2.2,6.0,37.2,4.6,5.6,82.7,46.25850340136055,2.8,4.3,0.6,0.4,1.4333333333333333
Johnell Davis,34.0,32.3,18.2,6.3,13.0,48.3,1.7,4.1,41.4,3.9,4.5,85.7,54.99999999999999,6.3,2.9,1.4,0.2,1.0
Sy Chatman,31.0,32.6,18.2,6.6,14.5,45.4,1.2,4.6,25.7,3.8,5.5,69.4,49.655172413793096,6.4,1.3,1.1,1.6,0.48148148148148145
Keenon Cole,30.0,34.6,18.1,5.7,14.3,40.2,1.1,4.2,26.2,5.6,6.8,81.5,43.7062937062937,6.2,0.7,0.6,0.5,0.30434782608695654
Jordan King,33.0,35.3,18.0,6.1,13.4,45.4,2.5,6.2,41.4,3.4,4.1,81.6,54.850746268656714,3.8,2.5,1.3,0.1,1.3888888888888888
Hunter Sallis,34.0,35.4,18.0,6.6,13.5,48.7,2.2,5.4,40.5,2.6,3.4,78.3,57.03703703703703,4.1,2.5,1.1,0.6,1.3157894736842106
Caleb Love,36.0,32.3,18.0,6.1,14.7,41.3,2.6,7.7,33.2,3.3,4.0,83.9,50.34013605442177,4.8,3.4,1.2,0.3,1.6190476190476188
Clark Slajchert,22.0,34.6,18.0,6.7,13.8,48.7,2.6,6.1,42.2,1.9,2.3,82.4,57.971014492753625,3.0,2.9,1.2,0.1,1.3181818181818181
Sherif Gross-Bullock,32.0,34.7,17.9,6.0,13.9,43.4,2.6,7.4,35.4,3.3,4.4,73.8,52.51798561151079,5.2,2.6,1.0,0.4,0.787878787878788
Cameron Tyson,34.0,32.1,17.9,5.9,14.3,41.2,3.4,8.7,39.4,2.7,3.1,87.6,53.14685314685315,4.2,1.4,0.7,0.0,0.8235294117647058
Matt Balanc,34.0,33.1,17.9,5.9,13.8,42.6,2.5,7.1,35.8,3.6,4.2,86.6,51.81159420289855,4.7,1.3,0.8,0.2,0.9285714285714287
Hunter Dickinson,33.0,32.2,17.9,7.6,13.8,54.8,0.7,2.0,35.4,2.1,3.3,62.4,57.6086956521739,10.9,2.3,0.9,1.4,1.2777777777777777
Kaleb Higgins,32.0,31.8,17.9,6.5,15.2,42.7,1.3,4.4,29.1,3.6,4.1,87.8,47.039473684210535,2.8,3.7,1.1,0.0,1.85
Shahada Wells,33.0,32.2,17.8,6.2,13.5,46.2,1.5,3.8,38.4,4.0,5.0,79.4,51.48148148148148,4.5,4.7,3.0,0.3,2.35
KyKy Tandy,32.0,31.5,17.8,5.9,14.2,41.9,2.6,6.8,38.9,3.3,3.8,88.4,50.70422535211267,2.6,1.4,1.1,0.1,0.6086956521739131
Darlinstone Dubar,33.0,34.6,17.8,6.8,12.5,53.9,2.2,5.5,39.9,2.1,2.8,73.4,63.2,6.8,1.4,1.2,0.9,1.0
Jarod Lucas,34.0,32.7,17.8,5.4,12.7,42.1,2.4,6.0,39.4,4.7,5.3,89.9,51.96850393700788,2.8,1.4,0.8,0.0,1.5555555555555554
Ty Johnson,32.0,30.6,17.8,5.9,13.3,44.3,1.1,3.4,32.1,4.9,6.4,77.1,48.49624060150376,3.7,3.3,1.8,0.1,1.1379310344827587
Great Osobor,35.0,33.7,17.7,6.2,10.8,57.7,0.1,0.4,21.4,5.2,8.1,63.7,57.870370370370374,9.0,2.8,1.3,1.4,1.0
Rashad Williams,29.0,30.6,17.7,5.8,14.2,40.4,3.6,8.9,40.5,2.6,3.1,82.4,53.52112676056338,1.9,3.0,0.8,0.0,1.111111111111111
Sean East,30.0,34.4,17.6,6.2,12.0,52.1,1.2,2.7,45.0,4.0,4.6,85.6,56.666666666666664,3.5,4.0,1.1,0.2,1.3333333333333333
Dakota Leffew,30.0,35.5,17.6,6.5,15.1,43.0,2.5,6.8,36.5,2.2,2.8,76.5,51.324503311258276,4.3,3.9,1.5,0.6,1.3448275862068966
Walter Clayton Jr.,36.0,31.0,17.6,5.6,13.0,43.2,2.6,7.1,36.5,3.8,4.3,87.7,53.07692307692308,3.6,2.6,1.1,0.6,1.1818181818181817
Dawson Garcia,31.0,31.9,17.6,6.0,12.4,48.6,0.9,2.9,31.9,4.6,5.7,80.2,52.016129032258064,6.7,1.6,0.8,1.0,0.8
Marcus Tsohonis,31.0,29.0,17.6,6.1,15.2,40.0,1.3,4.3,29.3,4.2,5.5,76.9,44.40789473684211,3.2,2.9,1.3,0.2,1.45
Trey Alexander,35.0,37.2,17.6,6.6,14.9,44.6,1.8,5.2,33.9,2.5,3.1,82.4,50.335570469798654,5.7,4.7,1.1,0.4,1.8800000000000001
Jordan Pope,32.0,35.6,17.6,6.3,13.9,45.1,2.1,5.6,37.1,2.9,3.3,87.9,52.877697841726615,2.6,3.4,0.7,0.1,1.4782608695652175
Alston Mason,30.0,35.2,17.5,6.0,14.2,42.3,2.4,6.8,35.3,3.1,4.0,78.3,50.70422535211267,3.0,3.6,0.8,0.1,1.5
Duke Miles,33.0,30.5,17.5,6.4,12.1,52.8,1.3,3.7,36.1,3.4,4.3,80.1,58.26446280991736,2.4,3.6,1.3,0.2,1.8
Markus Burton,33.0,33.8,17.5,6.4,15.1,42.1,1.3,4.2,30.0,3.5,4.2,82.1,46.68874172185431,3.3,4.3,1.9,0.2,1.162162162162162
Kevin Cross,30.0,36.1,17.5,5.9,11.5,51.3,0.7,1.7,42.3,4.9,6.0,81.8,54.347826086956516,7.3,4.6,1.3,0.9,1.5333333333333332
Honor Huff,33.0,34.5,17.4,5.5,12.6,43.4,3.3,8.7,38.0,3.2,3.9,82.8,56.746031746031754,2.7,2.6,1.7,0.1,2.0
Robbie Avila,37.0,31.2,17.4,6.1,11.3,53.6,1.6,4.2,39.4,3.6,4.5,80.8,61.06194690265486,6.6,4.1,0.7,0.6,2.2777777777777777
Deon PerryL-,29.0,33.1,17.3,5.7,14.9,38.4,2.7,7.8,35.1,3.2,3.5,91.1,47.31543624161074,2.6,2.9,1.5,0.0,1.0
Kobe Julien,33.0,31.5,17.3,5.9,13.2,44.6,1.6,4.9,32.5,4.0,4.8,82.4,50.75757575757576,4.8,1.2,1.1,0.7,0.5454545454545454
Erik Reynolds,35.0,34.6,17.3,5.5,13.1,42.0,3.2,8.4,38.0,3.1,3.5,87.1,54.19847328244275,2.7,2.7,1.2,0.2,1.9285714285714288
RJ Felton,33.0,34.6,17.3,6.1,14.1,43.1,2.1,6.0,35.5,3.0,3.8,77.8,50.70921985815603,6.0,1.3,1.8,0.6,0.9285714285714287
Ryan Kalkbrenner,35.0,34.6,17.3,6.9,10.7,64.6,0.5,1.5,29.6,3.0,4.3,71.1,66.82242990654207,7.6,1.3,0.4,3.1,0.8666666666666667
Trey Townsend,36.0,36.4,17.3,6.1,13.4,45.5,0.3,0.9,37.5,4.7,6.0,77.9,46.64179104477612,8.1,3.1,1.3,0.3,1.24
Kam Jones,36.0,28.9,17.2,6.5,13.0,50.1,2.6,6.5,40.6,1.5,2.1,72.4,60.0,2.9,2.4,1.1,0.1,1.7142857142857144
Michael Ajayi,33.0,34.7,17.2,6.2,13.4,46.7,1.2,2.5,47.0,3.5,5.0,70.9,50.74626865671642,9.9,1.9,0.9,0.5,0.95
Malik Mack,24.0,33.3,17.2,5.6,13.6,41.0,1.9,5.5,34.1,4.2,5.1,81.3,48.161764705882355,4.0,4.8,1.3,0.1,1.92
Ja'Kobi Gillespie,25.0,31.4,17.2,6.6,11.8,56.1,1.6,4.2,38.7,2.4,2.8,83.1,62.71186440677965,3.8,4.2,2.2,0.3,1.7500000000000002
Terrence Edwards Jr.,36.0,30.2,17.2,5.6,13.2,42.7,1.3,3.7,34.3,4.6,5.7,81.0,47.34848484848485,4.4,3.4,0.9,0.3,1.4166666666666667
Jeremiah Hernandez,31.0,31.3,17.2,4.9,11.8,41.7,0.8,2.6,31.7,6.5,8.0,81.0,44.91525423728814,3.3,1.8,1.5,0.2,0.6923076923076923
Jyare Davis,32.0,33.3,17.1,6.3,13.4,46.6,0.6,2.4,25.6,4.0,4.9,81.4,49.25373134328358,7.5,2.4,0.8,0.8,1.3333333333333333
Josh Hubbard,35.0,27.7,17.1,5.3,13.7,38.5,3.1,8.7,35.5,3.5,4.1,85.3,50.0,2.2,1.7,0.7,0.1,1.4166666666666667
Xaivian Lee,29.0,31.1,17.1,5.9,13.0,45.1,1.8,5.3,33.8,3.6,4.4,79.8,52.307692307692314,5.7,3.7,1.0,0.5,2.6428571428571432
DJ Brewton,31.0,33.0,17.0,6.5,14.5,45.3,1.0,3.1,33.0,2.9,4.3,68.2,48.275862068965516,4.8,2.4,1.5,0.2,1.1428571428571428
Norchad Omier,31.0,30.6,17.0,6.4,11.6,55.2,0.8,2.2,35.3,3.5,4.6,75.0,58.62068965517242,10.0,1.2,1.5,0.8,0.5217391304347826
Jordan Derkack,32.0,33.0,17.0,5.4,11.5,46.6,1.0,3.8,27.5,5.3,7.3,72.4,51.30434782608696,6.0,3.9,2.1,0.2,0.975
Branden Carlson,36.0,29.6,17.0,6.4,12.9,50.1,1.8,4.7,37.9,2.4,3.3,71.4,56.58914728682171,6.6,1.6,0.4,1.5,1.0666666666666667
Quinten Post,35.0,31.9,17.0,6.3,12.3,51.4,1.4,3.3,43.1,2.9,3.5,82.1,56.91056910569105,8.1,2.9,0.9,1.7,1.16
Kylen Milton,29.0,31.8,17.0,5.0,9.8,50.5,1.2,3.3,35.1,5.9,8.0,73.7,57.14285714285714,6.6,2.9,1.2,0.3,1.380952380952381
Deyton Albury,32.0,28.3,17.0,5.8,12.1,48.2,0.6,1.7,36.4,4.7,6.3,75.0,50.413223140495866,5.8,3.7,1.2,0.4,1.1212121212121213
Tyren Moore,32.0,28.0,17.0,5.8,12.5,46.8,2.3,5.6,40.6,3.0,3.5,86.5,55.599999999999994,2.8,3.1,1.1,0.1,1.6315789473684212
Austin Benigni,31.0,33.5,17.0,5.3,13.7,38.7,0.6,2.5,24.7,5.7,6.7,84.7,40.87591240875913,2.9,3.8,0.7,0.1,1.5833333333333333
Tyler Robertson,33.0,35.6,16.9,6.1,13.5,45.2,2.0,5.5,37.2,2.7,3.4,81.1,52.59259259259259,4.5,3.8,0.8,0.2,1.6521739130434783
Malik Dia,33.0,23.2,16.9,6.4,13.0,48.8,1.3,3.9,34.1,2.9,4.5,63.8,54.23076923076924,5.8,1.2,0.8,0.8,0.4444444444444444
DJ Horne,40.0,32.5,16.9,6.0,13.8,43.6,2.6,6.5,40.4,2.3,2.8,81.4,52.89855072463767,3.5,2.1,1.3,0.1,1.5000000000000002
Caleb Fields,35.0,35.3,16.9,5.8,13.2,43.6,3.2,8.3,38.8,2.1,3.0,72.1,56.06060606060607,4.1,2.7,1.4,0.1,2.076923076923077
DeMarcus Sharp,29.0,35.7,16.9,7.1,15.7,45.3,0.0,0.5,6.7,2.7,3.6,74.8,45.22292993630573,6.4,4.2,1.9,0.9,2.210526315789474
Jamarii Thomas,33.0,31.1,16.9,4.7,11.6,40.4,1.6,4.2,38.0,5.9,7.3,80.9,47.41379310344828,3.8,3.8,2.1,0.1,1.5833333333333333
Sam Griffin,32.0,34.4,16.9,5.6,13.0,43.1,2.4,6.1,39.2,3.3,4.0,83.5,52.307692307692314,3.7,3.4,0.7,0.0,1.4166666666666667
Isaiah Stafford,29.0,32.1,16.9,6.1,16.0,37.9,2.0,6.7,29.4,2.8,3.8,73.4,44.375,3.7,2.1,1.6,0.2,1.4000000000000001
Terrell Burden,31.0,31.2,16.8,5.6,12.8,44.2,1.1,3.6,31.0,4.4,6.9,64.3,48.04687499999999,3.5,6.3,1.4,0.4,2.25
Aanen Moody,36.0,33.4,16.8,6.3,12.9,49.2,2.4,6.2,39.0,1.8,2.0,87.5,58.139534883720934,3.4,2.3,0.9,0.1,1.352941176470588
AJ Storr,36.0,28.8,16.8,6.0,13.8,43.4,1.3,4.2,32.0,3.5,4.3,81.2,48.188405797101446,3.9,0.9,0.6,0.1,0.5625
Max Abmas,34.0,35.0,16.8,5.7,13.4,42.5,2.7,7.5,36.2,2.6,2.9,90.0,52.61194029850746,3.1,4.1,0.9,0.1,1.7826086956521738
B.J. Omot,32.0,35.2,16.7,6.0,14.4,41.6,1.7,5.9,28.2,3.1,4.4,70.0,47.56944444444444,4.2,1.4,0.8,0.9,1.0769230769230769
Travis Evee,32.0,33.7,16.7,5.8,13.7,41.9,2.3,6.8,34.3,2.9,3.5,82.9,50.72992700729927,3.4,2.1,1.0,0.3,1.1666666666666667
Amar'e Marshall,32.0,32.2,16.7,6.0,13.8,43.4,1.5,4.0,37.2,3.2,4.2,76.1,48.91304347826087,5.0,2.1,1.8,0.6,0.7500000000000001
