Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Tyson Degenhart,32.0,33.1,16.7,5.6,11.1,50.3,0.9,3.0,31.6,4.6,5.8,79.1,54.5045045045045,6.2,1.5,1.1,0.3,1.5
Eric Dixon,34.0,30.5,16.6,5.7,12.2,46.5,1.6,4.7,34.6,3.7,4.3,86.2,53.278688524590166,6.5,1.7,0.8,0.4,0.9444444444444444
Desmond Claude,34.0,33.6,16.6,6.0,14.1,42.6,0.8,3.3,23.9,3.9,4.9,79.4,45.39007092198582,4.2,3.2,1.1,0.3,1.4545454545454546
Trent McLaughlin,33.0,34.9,16.6,5.6,14.0,39.8,2.2,6.8,32.9,3.2,4.2,77.0,47.857142857142854,3.2,1.9,1.5,0.2,0.9047619047619047
Marcus Tankersley,32.0,36.0,16.6,6.2,13.2,46.7,0.6,2.1,27.9,3.7,4.6,80.4,49.24242424242424,3.8,2.2,0.8,0.1,1.0476190476190477
Caden Pierce,29.0,32.9,16.6,6.1,11.2,54.6,0.9,2.7,34.2,3.4,4.4,76.7,58.48214285714286,9.2,3.2,1.2,0.5,1.777777777777778
Keyshawn Hall,29.0,30.6,16.6,5.6,11.9,47.4,1.4,4.0,35.7,3.9,4.7,84.4,52.94117647058824,8.1,1.4,0.4,0.3,0.6086956521739131
Jermaine Couisnard,36.0,32.3,16.6,5.5,13.8,40.0,2.0,5.9,34.6,3.5,4.6,75.4,47.10144927536232,4.6,3.3,1.6,0.2,1.9411764705882353
Tyler Stephenson-Moore,33.0,34.9,16.6,5.4,12.0,44.6,2.6,6.1,43.5,3.2,3.8,84.8,55.833333333333336,3.8,1.2,1.1,0.7,1.0909090909090908
Bryce Harris,35.0,31.7,16.6,5.8,10.7,54.7,0.8,2.1,37.5,4.1,5.6,74.0,57.94392523364487,7.5,1.7,1.1,1.1,1.0
Elijah Elliott,30.0,35.3,16.6,5.7,15.7,36.3,1.1,4.9,23.1,4.0,5.6,71.6,39.80891719745223,3.5,3.0,1.6,0.3,1.0714285714285714
Ryan Conwell,38.0,33.9,16.6,5.4,11.1,48.2,2.9,7.1,40.7,2.9,3.4,85.5,61.711711711711715,5.8,2.5,1.1,0.3,1.4705882352941178
Chisom Okpara,26.0,30.5,16.5,5.7,11.8,47.9,1.0,3.1,33.8,4.2,6.2,67.3,52.542372881355924,5.0,2.0,0.8,0.7,0.8333333333333334
Boogie Ellis,29.0,33.7,16.5,5.6,13.1,42.7,3.0,7.2,41.8,2.3,3.2,72.0,54.19847328244275,3.5,3.0,1.4,0.1,1.6666666666666665
Johni Broome,35.0,24.7,16.5,6.2,11.4,54.8,0.8,2.3,35.4,3.2,5.2,61.5,57.89473684210527,8.5,2.2,0.9,2.2,1.375
Graham Ike,35.0,24.2,16.5,6.6,10.9,60.9,0.2,0.5,36.8,3.0,3.8,78.4,61.467889908256865,7.4,0.9,0.6,0.7,0.5625
Tyrece RadfordTA&,31.0,32.8,16.5,6.0,14.7,41.1,1.1,4.0,28.0,3.3,4.7,69.2,44.5578231292517,6.5,2.6,0.5,0.1,1.8571428571428574
Dae Dae Grant,34.0,32.8,16.4,4.9,12.6,38.6,2.4,7.3,33.5,4.3,4.6,94.2,48.41269841269842,3.4,2.4,1.0,0.1,1.846153846153846
Sean Pedulla,32.0,32.2,16.4,5.4,12.7,42.4,1.7,5.1,32.5,4.0,5.0,80.1,49.21259842519685,4.3,4.6,1.2,0.1,1.3939393939393938
Kyle Filipowski,36.0,30.4,16.4,6.1,12.1,50.5,1.1,3.1,34.8,3.1,4.6,67.1,54.958677685950406,8.3,2.8,1.1,1.5,1.3333333333333333
Ansley Almonor,32.0,32.0,16.4,5.6,12.8,43.6,2.9,7.4,39.4,2.4,3.0,80.0,55.078125,5.1,1.7,0.5,0.7,1.0625
Kalen Williams,33.0,31.6,16.4,5.8,13.2,44.4,1.4,4.6,31.1,3.2,4.3,75.9,49.24242424242424,3.5,2.9,1.1,0.1,1.45
Colby Rogers,34.0,35.0,16.4,5.6,14.0,40.0,2.9,7.1,40.9,2.3,2.7,82.8,50.357142857142854,3.4,1.9,1.0,0.3,1.1874999999999998
Payton Sandfort,34.0,30.5,16.4,5.3,11.9,44.6,2.8,7.3,37.9,3.0,3.3,91.1,56.30252100840335,6.6,2.7,0.7,0.4,2.076923076923077
Isaiah Crawford,32.0,32.8,16.3,5.7,11.7,48.5,1.3,3.1,41.4,3.7,5.1,72.8,54.27350427350428,6.2,2.4,2.1,1.7,0.96
Matt Rogers,31.0,28.2,16.3,6.1,12.2,50.1,1.6,4.3,36.8,2.5,3.5,73.1,56.557377049180324,6.2,1.6,0.8,0.5,0.8
Tanner Holden,32.0,33.2,16.3,6.1,11.0,55.3,0.4,1.1,40.0,3.8,5.4,69.8,57.27272727272727,6.4,3.6,1.8,0.4,1.44
Isaiah Collier,27.0,29.8,16.3,5.7,11.6,49.0,1.0,3.0,33.8,3.9,5.8,67.3,53.448275862068975,2.9,4.3,1.5,0.2,1.303030303030303
Dug McDaniel,26.0,35.4,16.3,5.8,14.2,41.0,2.2,5.8,36.8,2.5,3.2,77.4,48.591549295774655,3.7,4.7,1.1,0.0,1.9583333333333335
AJ Smith,29.0,32.1,16.2,6.0,13.3,45.3,1.2,3.4,35.4,3.0,3.7,79.6,49.62406015037594,4.3,1.3,0.7,0.0,0.7222222222222222
Tramon Mark,31.0,32.5,16.2,5.4,11.3,48.0,1.2,3.2,36.4,4.2,5.3,80.4,53.09734513274336,4.3,1.8,1.2,0.8,1.0588235294117647
Cade Tyson,31.0,31.7,16.2,5.7,11.5,49.3,2.6,5.5,46.5,2.3,2.7,85.5,60.86956521739131,5.9,1.6,0.9,0.6,1.142857142857143
Kezza Giffa,36.0,29.7,16.2,4.1,10.0,40.7,1.4,4.1,34.0,6.7,7.6,88.3,48.0,2.9,2.9,0.6,0.1,1.1153846153846154
Matthew Murrell,32.0,33.0,16.2,5.6,12.0,46.4,2.4,6.1,39.8,2.7,3.6,73.9,56.666666666666664,3.6,2.4,1.6,0.3,1.411764705882353
Jalen Leach,32.0,32.8,16.2,5.7,11.6,48.8,1.4,4.1,35.4,3.5,3.9,89.5,55.172413793103445,4.1,3.0,1.8,0.1,1.7647058823529411
Robert Ford,35.0,33.9,16.2,5.3,10.9,48.7,2.4,5.5,44.0,3.2,4.1,78.5,59.63302752293578,7.6,3.0,2.9,0.2,1.3043478260869565
Achor Achor,33.0,22.7,16.1,5.8,9.9,58.6,0.8,1.9,43.5,3.7,5.2,71.2,62.62626262626263,6.1,1.5,0.8,1.8,0.7894736842105263
Dusan Neskovic,23.0,26.1,16.0,5.6,12.9,43.2,2.1,5.9,36.3,2.8,3.7,75.3,51.55038759689921,4.0,1.1,0.6,0.1,0.47826086956521746
Diante Smith,31.0,33.8,16.0,5.5,12.9,42.1,2.5,6.4,39.4,2.6,3.3,78.4,52.32558139534883,6.2,3.0,1.9,0.4,1.25
Isaiah Stevens,36.0,34.8,16.0,5.8,12.3,47.4,1.8,4.2,44.0,2.6,3.1,83.6,54.47154471544715,3.2,6.8,1.2,0.2,2.8333333333333335
Tristan da Silva,34.0,34.0,16.0,5.8,11.8,49.3,1.9,4.8,39.5,2.5,3.0,83.5,57.20338983050846,5.1,2.4,1.1,0.6,1.3333333333333333
Jack Forrest,33.0,36.1,16.0,5.5,13.4,40.8,2.6,7.0,37.1,2.5,3.1,80.2,50.74626865671642,5.2,1.5,1.1,0.3,0.8823529411764706
Austin Crowley,31.0,34.2,16.0,5.2,13.5,38.3,1.8,5.4,33.5,3.8,5.0,75.5,45.18518518518519,4.4,3.3,1.2,0.5,1.375
Tiger Booker,28.0,33.1,16.0,5.5,12.8,42.7,0.9,3.0,29.4,4.1,4.8,85.9,46.484375,2.7,3.4,2.1,0.0,2.428571428571429
Hysier Miller,36.0,36.4,15.9,5.4,15.3,35.3,2.1,7.3,29.4,3.0,4.0,76.2,42.15686274509804,3.6,4.0,1.8,0.2,1.9047619047619047
Josh Oduro,34.0,30.2,15.9,5.9,11.3,52.7,0.5,1.6,29.1,3.6,4.4,81.9,54.424778761061944,7.5,2.0,0.9,1.3,0.9523809523809523
Martaz Robinson,34.0,34.6,15.9,5.3,12.7,41.8,0.9,2.8,31.9,4.4,5.2,84.7,45.275590551181104,6.5,2.2,2.0,0.1,0.8461538461538461
Jaelen House,31.0,29.4,15.9,5.1,13.7,37.4,1.9,5.9,32.8,3.7,4.2,88.5,44.16058394160584,3.5,3.5,2.3,0.2,1.9444444444444444
Josh Cohen,31.0,28.9,15.9,5.4,9.9,54.4,0.4,1.0,34.4,4.8,6.9,69.6,56.56565656565656,6.8,1.7,0.9,0.5,1.1333333333333333
Dominique Ford,31.0,32.7,15.9,5.0,11.4,43.5,1.9,5.4,34.9,4.1,5.3,78.5,52.19298245614035,4.0,2.1,1.4,0.2,1.05
Kel'el Ware,30.0,32.1,15.9,6.3,10.7,58.6,0.6,1.3,42.5,2.8,4.5,63.4,61.6822429906542,9.9,1.5,0.6,1.9,0.9375
Corey Washington,26.0,28.5,15.9,5.3,11.6,45.5,0.9,3.0,30.8,4.5,5.8,77.3,49.56896551724138,6.3,0.5,1.2,0.8,0.45454545454545453
Chaunce Jenkins,31.0,32.0,15.9,5.3,13.2,40.2,1.5,4.7,32.4,3.8,5.3,72.4,45.833333333333336,3.8,2.7,0.9,0.9,1.0384615384615385
Jaylin Sellers,33.0,32.0,15.9,5.2,12.5,41.9,1.6,5.3,29.7,3.8,4.6,82.9,48.0,3.6,1.1,1.1,0.1,0.8461538461538461
Marcus Domask,38.0,34.6,15.9,5.7,12.6,45.3,1.1,3.6,29.7,3.4,3.9,87.2,49.60317460317461,5.0,3.9,0.4,0.3,1.6956521739130437
Isaiah Swope,37.0,33.5,15.9,5.5,12.8,43.3,3.1,8.4,36.2,1.7,2.4,73.6,55.078125,3.0,2.1,1.3,0.0,1.1666666666666667
TJ Madlock,32.0,31.3,15.8,5.0,13.3,37.6,0.6,2.8,20.5,5.3,6.7,78.6,39.849624060150376,4.9,2.3,1.7,0.4,1.9166666666666665
Jeremiah Kendall,29.0,24.6,15.8,6.1,11.7,52.1,0.0,0.2,0.0,3.6,4.8,75.5,52.13675213675214,6.7,1.2,0.8,0.6,0.7499999999999999
Gibson Jimerson,33.0,35.8,15.8,4.9,12.2,39.9,2.4,6.7,35.9,3.7,4.2,86.4,50.000000000000014,2.9,2.1,0.7,0.2,1.1666666666666667
Jalin Anderson,31.0,36.3,15.8,5.5,12.5,44.1,1.6,4.5,35.7,3.2,4.2,76.0,50.4,4.6,4.5,1.5,0.2,1.6071428571428572
Emanuel Miller,34.0,32.6,15.8,5.6,11.4,48.6,0.9,2.4,38.3,3.8,4.6,81.5,53.07017543859649,6.1,2.6,1.1,0.4,1.7333333333333334
Pop Isaacs,34.0,32.7,15.8,4.9,14.1,34.9,2.1,7.3,29.3,3.7,4.5,83.6,42.198581560283685,3.2,3.5,1.0,0.1,1.4
KK Robinson,28.0,33.4,15.8,5.0,12.1,41.7,1.5,4.6,32.3,4.2,5.0,83.6,47.5206611570248,5.6,4.3,1.2,0.7,1.4827586206896552
Kadary Richmond,35.0,32.8,15.7,5.8,13.1,44.1,0.5,1.8,27.0,3.7,4.6,80.7,46.18320610687023,7.0,5.1,2.2,0.6,1.6451612903225805
Jalen Jackson,36.0,30.3,15.7,5.4,10.9,49.7,1.1,2.8,41.0,3.7,5.2,71.1,54.58715596330275,4.6,2.5,1.6,0.4,1.3157894736842106
Myron Amey Jr.,32.0,32.9,15.7,5.6,13.1,42.5,2.2,6.1,36.2,2.4,3.0,79.2,51.14503816793893,5.1,3.1,1.6,0.3,1.6315789473684212
Bruce Thornton,35.0,33.7,15.7,5.2,12.1,42.7,1.7,5.0,33.3,3.7,4.4,85.0,50.0,3.7,4.8,1.2,0.0,4.0
Vladislav Goldin,34.0,25.0,15.7,6.0,8.9,67.3,0.0,0.0,0.0,3.7,5.6,66.3,67.41573033707866,6.9,0.7,0.5,1.6,0.43749999999999994
Jakorie Smith,35.0,30.2,15.7,5.5,13.7,40.4,1.9,5.8,32.4,2.7,3.2,84.1,47.080291970802925,4.6,2.0,1.7,0.4,1.4285714285714286
Jacob Meyer,31.0,34.0,15.7,5.8,13.0,44.9,1.5,3.8,40.2,2.5,3.7,67.0,50.38461538461539,5.1,2.6,1.0,0.1,1.0
Rytis Petraitis,24.0,32.8,15.7,5.3,10.9,48.5,0.9,2.6,34.9,4.2,6.3,65.8,52.752293577981646,6.3,3.7,1.6,0.9,1.48
Ebby Asamoah,34.0,30.6,15.6,5.1,12.8,40.3,3.0,8.3,36.3,2.4,3.0,77.7,51.562499999999986,3.9,0.8,0.7,0.6,0.5
Dante Maddox Jr.,32.0,33.1,15.6,5.0,11.5,43.8,2.3,5.6,40.2,3.3,3.8,86.2,53.47826086956522,4.3,2.8,1.4,0.1,1.7499999999999998
Corey Tripp,32.0,30.5,15.6,6.0,14.0,42.9,1.6,5.8,27.7,2.0,2.6,79.3,48.57142857142857,4.5,3.4,0.7,0.2,1.6190476190476188
Darren Buchanan Jr.,29.0,30.8,15.6,5.5,10.1,54.6,0.3,1.1,32.3,4.2,6.7,63.4,55.940594059405946,6.6,2.4,1.3,0.4,1.0909090909090908
Jordan Lathon,31.0,30.8,15.6,5.7,13.1,43.7,2.1,5.5,38.4,2.0,2.6,75.6,51.526717557251914,6.0,2.4,1.0,0.3,1.263157894736842
Kaleb Stewart,28.0,29.3,15.6,5.5,12.1,45.4,2.4,5.5,42.6,2.3,2.7,82.9,55.371900826446286,1.8,1.6,0.2,0.0,1.0
Jay Alvarez,25.0,30.6,15.6,5.9,13.4,43.8,0.3,1.9,14.6,3.6,6.0,59.3,45.149253731343286,4.5,1.8,0.9,0.3,0.5806451612903226
Simeon Cottle,31.0,29.7,15.6,5.4,12.8,42.0,2.5,7.2,34.1,2.4,3.2,73.7,51.953125,3.2,2.5,1.4,0.1,1.3888888888888888
Jamir Watkins,33.0,28.2,15.6,4.8,10.5,45.7,1.0,2.9,34.4,4.9,6.2,79.5,50.476190476190474,6.0,2.8,1.9,0.8,1.1199999999999999
Kevin Miller,35.0,32.0,15.6,5.4,11.6,46.4,1.1,2.9,36.9,3.7,4.4,84.5,51.293103448275865,2.8,3.5,1.4,0.0,1.4
Isaiah Cozart,30.0,31.5,15.6,6.3,9.7,65.2,0.0,0.0,0.0,3.0,5.4,54.6,64.94845360824742,10.0,0.6,0.6,3.9,0.39999999999999997
Jalyn McCreary,30.0,22.9,15.6,6.3,12.1,51.9,0.0,0.2,14.3,2.9,4.3,67.7,52.066115702479344,4.6,1.1,1.0,1.0,0.8461538461538461
Ali Abdou Dibba,31.0,31.8,15.5,5.6,11.8,47.7,0.5,1.6,34.7,3.7,5.1,72.8,49.57627118644067,4.5,1.2,1.4,0.2,0.5217391304347826
Ali Ali,27.0,33.1,15.5,5.1,10.6,48.4,1.1,3.9,29.2,4.1,5.3,76.4,53.30188679245283,4.0,2.8,0.4,0.2,1.3333333333333333
Zyon Pullin,33.0,33.5,15.5,4.8,10.8,44.4,1.1,2.4,44.9,4.9,5.8,84.7,49.53703703703703,3.9,4.9,0.9,0.1,3.769230769230769
Luke Sutherland,32.0,27.3,15.5,5.8,11.9,48.9,2.0,5.1,39.6,1.8,2.2,85.5,57.14285714285714,4.4,1.8,0.4,0.8,1.125
Ra'Heim Moss,32.0,31.9,15.5,5.3,11.5,46.2,0.9,2.8,30.8,4.0,5.3,75.3,50.0,5.4,3.0,1.7,0.3,1.2
L.J. Cryer,37.0,32.1,15.5,5.4,13.2,41.1,3.0,7.8,38.8,1.6,1.9,87.1,52.27272727272728,2.4,1.9,1.1,0.1,2.111111111111111
Damarco Minor,33.0,33.6,15.5,5.3,13.4,39.7,1.2,3.8,31.5,3.6,4.2,86.2,44.02985074626865,8.5,3.1,1.1,0.2,1.6315789473684212
Maxime Raynaud,32.0,29.1,15.5,6.3,11.1,56.7,0.7,1.9,36.1,2.2,2.8,78.4,59.909909909909906,9.6,2.0,0.7,0.8,0.8
Deuce Turner,31.0,25.6,15.5,4.9,12.2,40.6,2.1,5.5,37.4,3.5,4.1,85.8,48.770491803278695,2.4,1.9,0.9,0.1,0.9047619047619047
Cedric Coward,32.0,30.5,15.4,5.7,10.1,56.5,1.6,4.2,38.3,2.4,2.7,89.5,64.35643564356435,6.7,1.7,1.0,0.9,0.7727272727272726
Dionte Bostick,34.0,33.7,15.4,5.8,12.9,44.5,1.4,4.2,34.3,2.4,3.5,69.2,50.3875968992248,4.0,1.7,1.4,0.2,0.8095238095238094
Jalen Sullinger,34.0,34.3,15.4,5.4,12.7,42.4,2.4,6.2,39.2,2.2,2.6,85.2,51.96850393700788,2.6,2.4,1.0,0.1,1.1428571428571428
Jakobi Heady,34.0,32.9,15.4,5.8,12.1,47.9,1.2,3.6,32.3,2.6,3.5,75.6,52.892561983471076,4.4,1.3,1.4,0.3,0.7647058823529412
Tre Dinkins,32.0,35.1,15.4,5.3,13.0,41.0,2.7,7.3,36.5,2.1,2.6,78.6,51.15384615384616,2.7,3.6,1.0,0.3,1.5
Allan Jeanne-Rose,30.0,29.9,15.4,5.5,10.0,54.8,0.7,1.8,38.2,3.7,5.2,71.6,58.5,4.8,1.7,0.6,0.7,1.0625
Isaiah Rivera,33.0,33.3,15.4,5.3,11.6,46.0,2.1,5.0,41.6,2.6,3.4,77.0,54.741379310344826,4.2,1.8,0.9,0.4,1.0
Malik Reneau,33.0,28.7,15.4,6.0,10.8,55.8,0.5,1.4,33.3,2.9,4.3,68.3,57.870370370370374,6.0,2.7,0.5,0.6,0.9642857142857144
Keyshaun Langley,31.0,30.4,15.4,5.3,12.4,42.7,2.6,6.2,42.5,2.2,2.5,85.9,53.2258064516129,2.7,3.3,1.5,0.1,2.1999999999999997
Leland Walker,31.0,28.3,15.4,5.3,12.3,43.3,1.2,3.6,34.2,3.5,4.2,83.2,47.96747967479674,2.7,4.1,1.1,0.2,1.64
Ahmad Robinson,31.0,29.4,15.4,5.1,12.5,40.9,1.1,3.6,31.3,4.1,5.7,71.6,45.199999999999996,4.6,4.7,1.5,0.1,1.4242424242424243
Nick Caldwell,32.0,29.5,15.4,5.5,10.4,52.9,1.3,3.0,42.3,3.1,3.8,81.1,59.13461538461539,5.5,1.2,0.9,0.9,0.631578947368421
Jahsean Corbett,32.0,35.4,15.4,5.7,12.3,45.9,0.8,2.7,28.7,3.3,4.7,69.5,49.59349593495935,7.7,1.6,0.9,0.1,0.8
Jamison Battle,35.0,31.3,15.3,5.1,10.9,46.9,2.6,6.0,43.3,2.5,2.7,92.6,58.71559633027522,5.2,1.4,0.4,0.2,0.8749999999999999
Tyler Kolek,31.0,33.0,15.3,5.6,11.3,49.6,1.5,3.9,38.8,2.6,3.0,85.1,56.19469026548673,4.9,7.7,1.6,0.2,2.6551724137931036
Fred Cleveland Jr.,29.0,33.0,15.3,5.0,12.7,39.8,2.4,6.7,36.6,2.8,3.6,77.9,48.818897637795274,3.9,5.3,1.6,0.0,1.9629629629629628
Chris Youngblood,33.0,30.0,15.3,4.8,10.6,45.8,2.1,5.0,41.6,3.5,4.2,82.9,55.18867924528301,2.5,2.1,0.6,0.6,1.5000000000000002
Isaac Jones,35.0,31.8,15.3,5.7,9.9,57.5,0.0,0.4,7.1,3.9,5.5,71.2,57.57575757575758,7.6,1.5,0.5,1.1,0.7894736842105263
Kaiyem Cleary,30.0,28.3,15.3,5.3,11.9,44.5,1.7,4.9,34.9,3.0,3.6,83.2,51.68067226890756,6.5,1.2,1.0,0.7,0.5714285714285714
Tylor Perry,34.0,36.4,15.3,3.9,10.9,35.8,2.7,8.2,33.5,4.7,5.2,90.9,48.1651376146789,3.0,4.4,1.1,0.1,1.6296296296296298
Matt Cross,28.0,30.1,15.3,5.3,9.9,54.0,0.9,2.8,32.9,3.7,4.6,79.8,58.080808080808076,8.3,3.0,1.5,0.3,1.25
Max Jones,24.0,27.5,15.3,4.3,11.2,38.3,1.8,4.5,38.5,4.9,6.3,78.7,46.42857142857144,3.0,1.9,1.7,0.2,0.6551724137931034
Touko Tainamo,34.0,29.5,15.2,5.4,11.5,46.7,1.0,3.0,34.3,3.5,4.8,72.8,51.30434782608696,7.7,0.6,0.4,0.6,0.5
Rob Dillingham,32.0,23.3,15.2,5.4,11.3,47.5,2.0,4.5,44.4,2.4,3.1,79.6,56.63716814159292,2.9,3.9,1.0,0.1,1.95
Daniel Batcho,28.0,29.7,15.2,5.8,9.8,59.0,0.0,0.1,0.0,3.7,5.5,66.9,59.183673469387756,9.8,0.4,0.5,2.4,0.2
Tyler Whitney-Sidney,32.0,28.8,15.2,5.3,11.1,47.5,1.2,3.7,31.9,3.5,4.8,72.1,53.153153153153156,3.5,2.0,1.0,0.0,0.9523809523809523
Darius Johnson,33.0,32.7,15.2,4.8,11.8,40.7,2.2,5.5,39.4,3.4,4.2,81.0,50.0,3.3,3.7,2.2,0.1,1.3214285714285716
Will Pruitt,29.0,31.9,15.1,5.2,10.2,50.5,1.2,2.9,43.4,3.6,4.4,79.8,56.86274509803921,6.0,3.1,1.1,0.1,1.9375
Javon Small,31.0,33.0,15.1,4.8,10.9,44.1,2.0,5.3,37.4,3.5,4.1,86.6,53.21100917431192,4.7,4.1,1.0,0.3,1.3225806451612903
Keisei Tominaga,32.0,26.0,15.1,5.3,11.3,46.6,2.4,6.3,37.6,2.2,2.5,87.5,57.52212389380531,2.3,1.4,0.9,0.0,1.1666666666666667
Jordan Wright,33.0,31.8,15.1,4.5,11.6,38.5,1.6,4.7,33.5,4.6,5.6,82.1,45.689655172413794,5.2,2.5,1.7,0.3,1.1363636363636362
Don McHenry,34.0,27.8,15.1,5.7,12.4,46.1,1.4,3.8,36.2,2.3,2.7,85.9,51.61290322580645,3.4,2.4,0.9,0.1,1.2
Joseph Girard,36.0,32.9,15.1,4.5,10.5,43.0,2.9,7.1,41.3,3.2,3.4,93.5,56.666666666666664,3.2,2.9,0.6,0.1,1.9333333333333333
Marcus Greene,28.0,32.5,15.1,5.3,11.7,45.1,2.2,5.1,42.7,2.4,3.0,78.6,54.700854700854705,3.6,3.0,1.0,0.2,1.25
Kenan Blackshear,32.0,30.6,15.1,5.6,11.2,49.9,0.2,0.9,17.9,3.8,5.8,64.9,50.89285714285714,4.8,5.0,1.4,0.5,1.7857142857142858
Marcus Banks Jr.,32.0,29.0,15.1,5.2,13.2,39.0,2.7,7.5,35.4,2.1,2.7,78.2,49.621212121212125,3.9,1.9,0.7,0.2,1.5833333333333333
Tristen Newton,40.0,33.2,15.1,4.6,11.0,41.5,1.8,5.5,32.1,4.2,5.2,80.8,50.0,6.6,6.2,0.9,0.3,2.48
Joe French,31.0,32.7,15.1,4.8,12.6,38.5,3.5,8.7,40.5,1.9,2.3,82.9,51.98412698412699,3.3,1.1,0.9,0.1,0.7333333333333334
Christyon Eugene,32.0,30.6,15.1,4.9,10.4,47.0,2.0,4.8,42.8,3.2,3.8,85.1,56.730769230769226,4.4,3.2,1.2,0.2,1.3913043478260871
Jamar Brown,32.0,35.1,15.0,5.4,11.8,45.4,1.8,5.4,33.3,2.5,2.9,84.9,53.38983050847458,6.1,1.4,1.0,0.3,0.7777777777777777
Tae Hardy,34.0,32.9,15.0,5.2,12.6,41.4,2.0,5.4,37.4,2.6,3.6,71.0,49.20634920634921,2.9,2.5,1.7,0.2,1.3157894736842106
Jimmy Clark,37.0,31.0,15.0,5.2,12.6,41.5,1.8,5.5,33.2,2.8,3.9,71.3,48.41269841269842,3.3,3.8,2.4,0.3,1.3571428571428572
Al-Amir Dawes,37.0,35.1,15.0,5.1,12.1,41.9,2.5,6.3,38.9,2.4,2.5,93.5,52.47933884297521,2.8,2.3,1.2,0.1,1.2105263157894737
Dre Davis,37.0,33.1,15.0,5.6,11.4,49.2,0.9,2.7,35.0,2.8,3.4,84.0,53.07017543859649,5.9,1.6,0.9,1.3,1.0666666666666667
Kevon Voyles,33.0,29.2,15.0,5.8,13.8,41.9,1.8,5.5,33.7,1.5,2.1,72.9,48.55072463768116,3.6,2.0,1.8,0.1,1.1764705882352942
Khalil Brantley,33.0,35.9,15.0,5.2,13.5,38.7,1.4,4.4,32.6,3.1,4.1,76.3,43.7037037037037,5.3,4.2,1.5,0.4,1.909090909090909
Daniss Jenkins,33.0,30.7,14.9,5.8,12.9,44.6,1.7,4.8,35.4,1.7,2.0,85.1,51.55038759689921,3.5,5.4,1.6,0.5,2.2500000000000004
Melvin Council Jr.,33.0,35.8,14.9,5.6,14.5,38.6,0.9,3.5,26.5,2.8,3.7,74.8,41.724137931034484,5.7,3.5,1.4,0.6,1.842105263157895
Rasheed Bello,36.0,32.5,14.9,5.5,12.1,45.5,1.4,3.9,34.8,2.6,3.3,77.3,51.23966942148761,2.9,4.3,1.9,0.3,1.6538461538461537
Tymu Chenery,27.0,31.1,14.9,5.5,10.7,51.0,1.2,4.0,30.3,2.7,3.8,70.9,57.009345794392516,5.0,1.5,0.5,1.5,0.625
Jevin Muniz,34.0,36.1,14.9,5.2,11.9,43.6,1.4,4.1,34.8,3.0,4.0,76.3,49.57983193277311,3.7,3.0,1.4,0.1,1.5
Dejour Reaves,30.0,29.2,14.9,5.5,11.8,46.7,1.5,4.0,38.0,2.3,2.8,82.4,52.966101694915245,3.5,1.4,1.3,0.1,0.9333333333333332
Kimani Hamilton,36.0,31.4,14.9,5.0,10.6,46.9,0.9,3.1,28.2,4.1,5.1,79.8,51.41509433962265,7.2,2.3,1.2,0.7,1.4374999999999998
PJ Henry,28.0,28.7,14.9,5.5,13.9,39.9,2.4,6.9,34.9,1.4,2.0,68.4,48.201438848920866,2.8,2.4,1.9,0.1,1.1428571428571428
Zhuric Phelps,33.0,29.3,14.8,5.2,13.3,38.6,0.9,4.2,21.6,3.6,4.9,74.1,42.4812030075188,4.1,2.7,1.9,0.5,1.2857142857142858
Myles Rice,35.0,33.2,14.8,5.4,12.4,43.9,1.0,3.7,27.5,2.9,3.6,81.1,47.58064516129033,3.1,3.8,1.6,0.2,1.4615384615384615
RJ Johnson,28.0,33.5,14.8,4.4,11.1,39.4,1.4,3.5,38.4,4.7,5.3,88.5,45.94594594594595,2.0,3.1,0.7,0.1,1.4761904761904763
